127.0.0.1 | 21/04/2026, 17:50:03 | /secret.txt | 403 Forbidden 
127.0.0.1 | 21/04/2026, 17:50:03 | /favicon.ico | 404 Not Found 
127.0.0.1 | 21/04/2026, 17:50:16 | /notexist.html | 404 Not Found 
127.0.0.1 | 21/04/2026, 17:50:18 | /2322.txt | 200 OK 
127.0.0.1 | 21/04/2026, 17:50:31 | /project_photo.jpg | 200 OK 
127.0.0.1 | 21/04/2026, 17:51:09 | /2322.html | 200 OK 
127.0.0.1 | 21/04/2026, 17:54:47 | /2322.txt | 200 OK 
127.0.0.1 | 21/04/2026, 17:58:45 | /2322.txt | 200 OK 
127.0.0.1 | 21/04/2026, 17:59:28 | /notexist.html | 404 Not Found 
127.0.0.1 | 21/04/2026, 17:59:57 | /notexist.html | 404 Not Found 
127.0.0.1 | 21/04/2026, 18:02:01 | /2322.txt | 304 Not Modified 
127.0.0.1 | 21/04/2026, 18:05:00 | /2322.txt | 200 OK 
127.0.0.1 | 21/04/2026, 18:05:25 | /2322.txt | 200 OK 
